,Exp_553,Exp_401,Exp_266,Exp_62,Exp_111,Exp_567,Exp_570,Exp_500,Exp_52,Exp_222,Exp_587,Exp_17,Exp_462,Exp_271,Exp_49,Exp_451,Exp_502,Exp_86,Exp_612,Exp_509,Exp_12,Exp_208,Exp_529,Exp_128,Exp_56,Exp_635,Exp_93,Exp_313,Exp_446,Exp_643,Exp_223,Exp_315,Exp_649,Exp_191,Exp_445,Exp_518,Exp_365,Exp_356,Exp_420,Exp_547,Exp_103,Exp_690,Exp_693,Exp_367,Exp_325,Exp_182,Exp_124,Exp_272,Exp_332,Exp_732,Exp_733,Exp_737,Exp_23,Exp_460
MSE,1.414323464190916,4.641908684460666,7.0850044348662475,6.53765946159647,1.708973954219573,5.093376355726407,0.18356342617276963,6.240249061102281,0.27559934933534286,0.43442969568792905,0.7330297912703476,14.132942499894273,14.581898165828276,6.773205271149074,52.07953010235722,1.7269052663345146,0.6213709192347061,10.734655212655868,29.312212056546326,0.4277330451654999,1.7806780594764278,5.198772588920574,3.3625158268257485,1.7022295721352962,13.307893638424694,2.4384393634937878,0.9728616365841124,0.05044631836431422,0.49316771189743547,0.47918375136572594,0.08359480411402745,0.09090710768168982,0.03146305074000714,6.6886783922506,0.2671911035312564,1.795986304690982,4.332422955702925,0.17076849488584783,5.380614510105416,0.11338501995475594,0.41415297367042314,8.87348884894098,4.770580466381534,6.733318602383433,9.066390695718129,16.25668726381887,15.39753227362869,24.40923410202604,4.174138264655722,16.575331529861472,0.6384045239381956,0.1855748471350353,0.05608317223718833,0.1043145146062242
MAE,1.1688619003918606,2.0540716568582558,2.5857005653273286,2.456055671923279,1.1587634119523564,2.1797097102632463,0.40470704634569377,2.4321980511455035,0.4919820909875668,0.640362829334162,0.8346865328653785,3.706772171633146,3.7985218103683613,2.4235360326499604,7.07603266581552,1.2391153310597727,0.7762462312369173,3.2041173761328183,5.381722467829487,0.6291506361757251,1.2213746179990292,2.2472224789909028,1.7809836675048212,1.2134750157775258,3.6216501821738594,1.5121863523795784,0.9572605469916908,0.1987487490929901,0.6823227912148955,0.6142125745249267,0.2701001122717075,0.28293252939229685,0.14482020636150578,2.531313300810765,0.49570511096960007,1.2794439087258138,1.9898971023394545,0.3762384095211422,2.276448504629043,0.30411284621243373,0.6099320522229844,2.9164183125276977,2.1174422504292068,2.550634903017229,2.992723648317458,3.9986336484909697,3.882611701587624,4.867493400994023,2.0171152896424904,4.031838262260769,0.7573901928973448,0.4032914953129342,0.21377995321363502,0.2931605159802727
RMSE,1.1892533221273405,2.1545089195593192,2.661767163909392,2.5568847180888836,1.3072773057846498,2.256850982171044,0.42844302558539754,2.4980490509800406,0.5249755702271706,0.6591128095310612,0.8561715898523774,3.759380600563645,3.818625166971521,2.602538236251117,7.216614864488559,1.314117675984352,0.7882708412942255,3.276378368359776,5.414075364874996,0.6540130313422661,1.3344204957495325,2.2800817066325876,1.8337163975996256,1.3046952027716268,3.6479985798276697,1.5615503077050665,0.9863374861497014,0.22460257871252107,0.7022590062771965,0.6922309956696001,0.2891276605827043,0.301508055749245,0.17737827020243246,2.586247937118675,0.5169053138934213,1.3401441357894985,2.0814473223463823,0.41324144865423146,2.319615164225613,0.33672692193342063,0.6435471806094897,2.9788401851964097,2.1841658513907625,2.5948638889898317,3.0110447847413577,4.031958241824792,3.9239689440193954,4.940570220331459,2.043070792864438,4.071281313034199,0.7990022052148514,0.430783991270608,0.23681885954709841,0.322977576011438
Predictions,"[1.3613961  1.3180014  1.1826053  1.5555314  1.5866463  1.8177118
 1.2003365  1.1884035  1.4060879  1.3897299  1.490341   1.5966469
 1.2666863  1.3798051  1.5075287  1.1404995  1.2860166  1.3445932
 1.3548323  1.6104491  1.1681528  1.3895414  1.3051691  1.1552806
 1.5485934  1.1940868  1.5855488  1.313688   1.5925468  1.8862053
 1.7867343  1.2499815  1.4414543  1.2912668  0.94284195 1.4554663
 1.1063154  1.6241071  1.4724714  1.5254405  1.8114623  1.4141762
